lon,lat,dpt,wlv,hs,lm,dir,ts
-10,45,4663.5,0,4.23,259,280,1446332400
-9.9667,45,4676,0,4.22,260,280,1446332400
-9.9333,45,4689,0,4.212,261,280,1446332400
-9.9,45,4701.5,0,4.202,261,280,1446332400
-9.8667,45,4714.5,0,4.194,262,280,1446332400
-9.8333,45,4727.5,0,4.184,262,280,1446332400
-9.8,45,4740,0,4.176,263,280,1446332400
-9.7667,45,4753,0,4.166,264,280,1446332400
-9.7333,45,4765.5,0,4.158,264,281.6,1446332400
-9.7,45,4778.5,0,4.148,265,281.6,1446332400
-9.6667,45,4791,0,4.14,265,281.6,1446332400
-9.6333,45,4804,0,4.13,266,281.6,1446332400
-9.6,45,4817,0,4.122,267,281.6,1446332400
-9.5667,45,4829.5,0,4.112,267,281.6,1446332400
-9.5333,45,4842.5,0,4.104,268,281.6,1446332400
-9.5,45,4855,0,4.096,268,281.6,1446332400
-9.4667,45,4860,0,4.086,269,281.6,1446332400
-9.4333,45,4864.5,0,4.076,269,281.6,1446332400
-9.4,45,4869,0,4.066,270,281.6,1446332400
-9.3667,45,4873.5,0,4.058,270,281.6,1446332400
-9.3334,45,4878,0,4.048,271,281.6,1446332400
-9.3,45,4882.5,0,4.038,271,281.6,1446332400
-9.2667,45,4887,0,4.028,272,281.6,1446332400
-9.2334,45,4891.5,0,4.02,272,282.9,1446332400
-9.2,45,4896,0,4.01,273,282.9,1446332400
-9.1667,45,4900.5,0,4,273,282.9,1446332400
-9.1334,45,4905,0,3.99,274,282.9,1446332400
-9.1,45,4909.5,0,3.982,274,282.9,1446332400
-9.0667,45,4914,0,3.972,275,282.9,1446332400
-9.0334,45,4918.5,0,3.962,275,282.9,1446332400
-9,45,4923,0,3.954,275,282.9,1446332400
-8.9667,45,4922,0,3.944,276,282.9,1446332400
-8.9334,45,4921,0,3.934,276,282.9,1446332400
-8.9,45,4919.5,0,3.924,276,282.9,1446332400
-8.8667,45,4918.5,0,3.916,277,282.9,1446332400
-8.8334,45,4917.5,0,3.906,277,282.9,1446332400
-8.8,45,4916,0,3.896,277,282.9,1446332400
-8.7667,45,4915,0,3.886,278,282.9,1446332400
-8.7334,45,4914,0,3.878,278,283.8,1446332400
-8.7,45,4912.5,0,3.868,278,283.8,1446332400
-8.6667,45,4911.5,0,3.858,279,283.8,1446332400
-8.6334,45,4910.5,0,3.848,279,283.8,1446332400
-8.6,45,4909,0,3.84,279,283.8,1446332400
-8.5667,45,4908,0,3.83,280,283.8,1446332400
-8.5334,45,4907,0,3.82,280,283.8,1446332400
-8.5,45,4905.5,0,3.812,280,283.8,1446332400
