PORT_NAME;COUNTRY;LATITUDE;LONGITUDE
CONVENT;US;30,016667;-90,833333
DEER PARK;US;29,75;-95,333333
PORTO DE SUAPE;BR;-8,4;-34,966667
AIN SUKHNA TERMINAL;EG;29,583333;32,366667
KING FAHD PORT;SA;23,95;38,216667
RAS ISA MARINE TERMINAL;YE;15,133333;42,6
SHEKOU;CN;22,466667;113,866667
ARDJUNA OIL FIELD;ID;-5,883333;107,716667
BAYUQUAN;CN;40,3;122,083333
PIPAVAV BANDAR;IN;20,916667;71,516667
SUBIC BAY;PH;14,8;120,266667
YANTIAN;CN;22,583333;114,266667
ST. JAMES;US;29,983333;-90,933333
PETROPAVLOVSK;RU;53,05;158,65
NIKOL SKOYE;RU;55,2;165,983333
PROVIDENIYA;RU;64,416667;-173,233333
AMBARCHIK;RU;69,633333;162,316667
TIKSI;RU;71,633333;128,866667
PEVEK;RU;69,716667;170,3
PORT DIKSON;RU;73,5;80,516667
UST-PORT;RU;69,666667;84,433333
DUDINKA;RU;69,4;86,166667
IGARKA;RU;67,483333;86,6
MYS NOVYY PORT;RU;67,666667;72,9
NAR YAN-MAR;RU;67,65;53
MEZEN;RU;65,833333;44,183333
ARKHANGELS'K;RU;64,533333;40,533333
SEVERODVINSK;RU;64,566667;39,783333
ONEGA;RU;63,9;38,1
BELOMORSK;RU;64,533333;34,8
RABOCHEOSTROVSK;RU;64,983333;34,783333
KERET;RU;66,283333;33,566667
KOVDA;RU;66,683333;32,866667
KANDALAKSHA;RU;67,133333;32,416667
BOLSHAYA PIRYU GUBA;RU;66,666667;34,366667
OSTROVNOY GREMIKHA;RU;68,05;39,516667
MURMANSK;RU;68,983333;33,05
MYS ABRAM;RU;68,983333;33,033333
ELLEFSEN HARBOR;AQ;-60,733333;-45,033333
SCOTIA BAY;AQ;-60,75;-44,716667
ADMIRALTY BAY;AQ;-62,083333;-58,416667
PORT FOSTER;AQ;-62,95;-60,633333
PORT LOCKROY;AQ;-64,816667;-63,5
MELCHIOR HARBOR;AQ;-64,316667;-63
ANDERSEN HARBOR;AQ;-64,316667;-62,933333
BUKHTA NAGAYEVA (MAGADAN);RU;59,566667;150,716667
SOUTHWEST PASS;US;28,45;-90,7
TRI-CITY PORT;US;38,716667;-90,2
MOJI KO;JP;33,95;130,966667
